Paso | Estado | Cabezal | Cinta
01 | 0 | 00 | 000111
02 | 1 | 01 | X00111
03 | 1 | 02 | X00111
04 | 1 | 03 | X00111
05 | 2 | 02 | X00Y11
06 | 2 | 01 | X00Y11
07 | 2 | 00 | X00Y11
08 | 0 | 01 | X00Y11
09 | 1 | 02 | XX0Y11
10 | 1 | 03 | XX0Y11
11 | 1 | 04 | XX0Y11
12 | 2 | 03 | XX0YY1
13 | 2 | 02 | XX0YY1
14 | 2 | 01 | XX0YY1
15 | 0 | 02 | XX0YY1
16 | 1 | 03 | XXXYY1
17 | 1 | 04 | XXXYY1
18 | 1 | 05 | XXXYY1
19 | 2 | 04 | XXXYYY
20 | 2 | 03 | XXXYYY
21 | 2 | 02 | XXXYYY
22 | 0 | 03 | XXXYYY
23 | 3 | 04 | XXXYYY
24 | 3 | 05 | XXXYYY
25 | 3 | 06 | XXXYYY
